data_date,stock_name,previous_close,open,bid,ask,day_range,52week_range,volume,avg_volume,market_cap,beta_5Y_Monthly,PE_TTM,EPS_TTM,Earning_date,forward_div_yeild,ex_div_date,_1y_target_est
"September 22, 2021",Microsoft Corporation (MSFT),294.8,296.73,299.32,299.5,294.51 - 300.21,199.20 - 305.84,26626342.0,22398762.0,2.244T,0.78,37.09,8.05,"Oct 25, 2021 - Oct 29, 2021",2.48 (0.84%),"Nov 17, 2021",330.68
"September 23, 2021",Microsoft Corporation (MSFT),298.58,298.85,299.82,299.8,297.53 - 300.90,199.20 - 305.84,18604601.0,22429025.0,2.251T,0.78,37.21,8.05,"Oct 25, 2021 - Oct 29, 2021",2.48 (0.83%),"Nov 17, 2021",336.04
"September 23, 2021",Microsoft Corporation (MSFT),298.58,298.85,299.82,299.8,297.53 - 300.90,199.20 - 305.84,18604601.0,22429025.0,2.251T,0.78,37.21,8.05,"Oct 25, 2021 - Oct 29, 2021",2.48 (0.83%),"Nov 17, 2021",336.04
"September 24, 2021",Microsoft Corporation (MSFT),299.56,298.23,299.38,299.67,296.93 - 299.79,199.62 - 305.84,14986636.0,22414817.0,2.25T,0.78,37.19,8.05,"Oct 25, 2021 - Oct 29, 2021",2.48 (0.83%),"Nov 17, 2021",336.04
"September 25, 2021",Microsoft Corporation (MSFT),299.56,298.23,299.3,299.4,296.93 - 299.79,199.62 - 305.84,14998978.0,22314104.0,2.25T,0.78,37.19,8.05,"Oct 25, 2021 - Oct 29, 2021",2.48 (0.83%),"Nov 17, 2021",336.04
"September 26, 2021",Microsoft Corporation (MSFT),299.56,298.23,299.35,299.5,296.93 - 299.79,199.62 - 305.84,14998978.0,22261771.0,2.25T,0.78,37.19,8.05,"Oct 25, 2021 - Oct 29, 2021",2.48 (0.83%),"Nov 17, 2021",336.04
"September 28, 2021",Microsoft Corporation (MSFT),294.17,289.8,283.6,283.79,282.75 - 290.78,199.62 - 305.84,41797791.0,22281892.0,2.131T,0.78,35.22,8.05,"Oct 25, 2021 - Oct 29, 2021",2.48 (0.83%),"Nov 17, 2021",336.04
"September 29, 2021",Microsoft Corporation (MSFT),283.52,285.1,284.15,284.24,283.01 - 286.77,199.62 - 305.84,25051680.0,22650198.0,2.134T,0.78,35.28,8.05,"Oct 25, 2021 - Oct 29, 2021",2.48 (0.87%),"Nov 17, 2021",336.04
"September 30, 2021",Microsoft Corporation (MSFT),284.0,285.71,281.95,281.94,281.62 - 287.83,199.62 - 305.84,30667325.0,22750642.0,2.119T,0.78,35.02,8.05,"Oct 25, 2021 - Oct 29, 2021",2.48 (0.87%),"Nov 17, 2021",336.04
"October 01, 2021",Microsoft Corporation (MSFT),281.92,282.12,288.35,288.53,281.31 - 289.98,199.62 - 305.84,27421895.0,22917885.0,2.173T,0.78,35.91,8.05,"Oct 25, 2021 - Oct 29, 2021",2.48 (0.88%),"Nov 17, 2021",336.28
"October 02, 2021",Microsoft Corporation (MSFT),281.92,282.12,288.54,288.6,281.31 - 289.98,199.62 - 305.84,27421895.0,23017260.0,2.173T,0.78,35.91,8.05,"Oct 25, 2021 - Oct 29, 2021",2.48 (0.86%),"Nov 17, 2021",336.28
"October 03, 2021",Microsoft Corporation (MSFT),281.92,282.12,288.54,288.92,281.31 - 289.98,199.62 - 305.84,27421895.0,22961764.0,2.173T,0.78,35.91,8.05,"Oct 25, 2021 - Oct 29, 2021",2.48 (0.86%),"Nov 17, 2021",336.28
"October 04, 2021",Microsoft Corporation (MSFT),289.1,287.4,283.4,283.74,280.25 - 287.75,199.62 - 305.84,30181889.0,23036694.0,2.128T,0.8,35.17,8.05,"Oct 25, 2021 - Oct 29, 2021",2.48 (0.86%),"Nov 17, 2021",336.28
"October 05, 2021",Microsoft Corporation (MSFT),283.11,284.05,288.25,288.78,284.05 - 290.40,199.62 - 305.84,24614012.0,23203728.0,2.17T,0.8,35.87,8.05,"Oct 25, 2021 - Oct 29, 2021",2.48 (0.88%),"Nov 17, 2021",336.28
"October 06, 2021",Microsoft Corporation (MSFT),288.76,285.78,293.44,293.55,285.51 - 293.63,199.62 - 305.84,26486196.0,23231184.0,2.203T,0.8,36.41,8.05,"Oct 25, 2021 - Oct 29, 2021",2.48 (0.86%),"Nov 17, 2021",336.28
"October 07, 2021",Microsoft Corporation (MSFT),293.11,295.17,294.8,294.88,293.93 - 296.64,199.62 - 305.84,20326504.0,23176341.0,2.216T,0.8,36.63,8.05,"Oct 25, 2021 - Oct 29, 2021",2.48 (0.85%),"Nov 17, 2021",336.28
"October 08, 2021",Microsoft Corporation (MSFT),294.85,296.22,294.66,294.65,293.77 - 296.64,199.62 - 305.84,16697017.0,23133130.0,2.216T,0.8,36.63,8.05,"Oct 25, 2021 - Oct 29, 2021",2.48 (0.84%),"Nov 17, 2021",336.28
"October 11, 2021",Microsoft Corporation (MSFT),294.85,292.92,294.1,294.06,292.77 - 297.97,199.62 - 305.84,19298634.0,23012685.0,2.211T,0.8,36.55,8.05,"Oct 25, 2021 - Oct 29, 2021",2.48 (0.84%),"Nov 17, 2021",336.28
"October 12, 2021",Microsoft Corporation (MSFT),294.23,295.34,292.16,293.23,292.35 - 295.44,199.62 - 305.84,17215595.0,22955352.0,2.201T,0.8,36.38,8.05,"Oct 25, 2021 - Oct 29, 2021",2.48 (0.84%),"Nov 17, 2021",336.28
"October 13, 2021",Microsoft Corporation (MSFT),294.23,295.34,292.2,292.42,292.35 - 295.44,199.62 - 305.84,17215595.0,22955352.0,2.201T,0.8,36.38,8.05,"Oct 25, 2021 - Oct 29, 2021",2.48 (0.84%),"Nov 17, 2021",336.28
"October 14, 2021",Microsoft Corporation (MSFT),296.31,299.21,303.0,303.2,297.83 - 303.27,199.62 - 305.84,24508980.0,22899216.0,2.275T,0.8,37.61,8.05,"Oct 26, 2021",2.48 (0.85%),"Nov 17, 2021",336.28
"October 15, 2021",Microsoft Corporation (MSFT),302.75,302.34,304.28,304.33,300.52 - 304.45,199.62 - 305.84,16207249.0,22962704.0,2.285T,0.8,37.78,8.05,"Oct 26, 2021",2.48 (0.82%),"Nov 17, 2021",336.28
"October 16, 2021",Microsoft Corporation (MSFT),302.75,302.34,304.21,304.3,300.52 - 304.45,199.62 - 305.84,25384803.0,23005673.0,2.286T,0.8,37.79,8.05,"Oct 26, 2021",2.48 (0.82%),"Nov 17, 2021",336.28
"October 17, 2021",Microsoft Corporation (MSFT),302.75,302.34,304.21,304.3,300.52 - 304.45,199.62 - 305.84,25384803.0,22955968.0,2.286T,0.8,37.79,8.05,"Oct 26, 2021",2.48 (0.82%),"Nov 17, 2021",336.28
"October 18, 2021",Microsoft Corporation (MSFT),304.21,303.57,307.17,307.33,302.69 - 307.80,199.62 - 307.80,22510047.0,22955968.0,2.309T,0.8,38.17,8.05,"Oct 26, 2021",2.48 (0.82%),"Nov 17, 2021",336.28
"October 19, 2021",Microsoft Corporation (MSFT),307.29,308.35,308.44,308.6,307.22 - 309.30,199.62 - 309.30,17555498.0,22949749.0,2.314T,0.8,38.29,8.05,"Oct 26, 2021",2.48 (0.81%),"Nov 17, 2021",336.28
"October 20, 2021",Microsoft Corporation (MSFT),308.23,309.21,307.15,307.37,306.11 - 309.70,199.62 - 309.70,16516297.0,22717393.0,2.308T,0.8,38.19,8.05,"Oct 26, 2021",2.48 (0.80%),"Nov 17, 2021",336.96
"October 21, 2021",Microsoft Corporation (MSFT),307.41,307.17,310.82,309.5,306.38 - 311.02,199.62 - 311.02,16847523.0,22568024.0,2.333T,0.8,38.6,8.05,"Oct 26, 2021",2.48 (0.81%),"Nov 17, 2021",337.77
"October 22, 2021",Microsoft Corporation (MSFT),310.76,310.4,309.24,309.0,307.80 - 311.09,199.62 - 311.09,15855608.0,22453149.0,2.321T,0.8,38.4,8.05,"Oct 26, 2021",2.48 (0.80%),"Nov 17, 2021",337.04
"October 23, 2021",Microsoft Corporation (MSFT),310.76,310.4,309.0,309.0,307.80 - 311.09,199.62 - 311.09,17449332.0,22362241.0,2.321T,0.8,38.4,8.05,"Oct 26, 2021",2.48 (0.80%),"Nov 17, 2021",337.04
"October 24, 2021",Microsoft Corporation (MSFT),310.76,310.4,309.0,309.0,307.80 - 311.09,199.62 - 311.09,17449332.0,22362241.0,2.321T,0.8,38.4,8.05,"Oct 26, 2021",2.48 (0.80%),"Nov 17, 2021",337.04
"October 25, 2021",Microsoft Corporation (MSFT),309.16,309.36,309.1,309.4,306.46 - 309.38,199.62 - 311.09,15863018.0,22355900.0,2.313T,0.8,38.28,8.05,"Oct 26, 2021",2.48 (0.80%),"Nov 17, 2021",337.04
"October 26, 2021",Microsoft Corporation (MSFT),308.13,311.0,309.83,310.1,308.60 - 312.39,199.62 - 312.39,25193825.0,22281673.0,2.328T,0.8,38.52,8.05,"Oct 26, 2021",2.48 (0.80%),"Nov 17, 2021",339.26
"October 27, 2021",Microsoft Corporation (MSFT),310.11,316.0,323.22,323.25,316.00 - 326.10,199.62 - 326.10,52304402.0,22352158.0,2.426T,nan,40.14,8.05,"Jan 24, 2022 - Jan 28, 2022",2.48 (0.80%),"Nov 17, 2021",339.26
"October 28, 2021",Microsoft Corporation (MSFT),323.17,324.33,323.14,323.15,321.36 - 324.38,199.62 - 326.10,10743832.0,22649292.0,2.43T,nan,40.2,8.05,"Jan 24, 2022 - Jan 28, 2022",2.48 (0.80%),"Nov 17, 2021",353.96
